no,AVGSM,STDSM,AVGCM,STDCM
1,677.08,14.46,726.62,82.32
2,718.37,34.53,714.63,61.46
3,704.14,64.65,720.22,82.14
4,812.11,129.69,735.40,242.51
5,823.64,96.69,516.94,213.17
6,811.22,128.38,507.06,249.26
7,853.16,12.10,718.13,349.22
8,859.72,19.44,718.16,347.97
9,702.02,95.10,772.06,89.71
10,709.71,65.75,688.68,5.54
11,881.63,26.44,688.98,324.63
12,890.24,70.71,782.03,283.98
13,869.53,20.56,612.92,302.65
14,873.41,22.07,857.67,265.65
15,808.99,119.62,660.42,303.63
16,749.30,19.88,711.48,8.49
17,715.66,14.02,718.14,79.09
18,834.75,68.67,625.44,286.00
19,855.06,21.00,718.46,217.50
20,873.28,19.20,640.48,269.32
21,849.57,14.43,730.46,305.08
22,851.22,21.20,354.82,21.10
23,685.98,20.52,656.36,59.61
24,701.63,15.16,698.54,78.27
25,821.76,93.37,686.39,330.06
26,850.08,28.63,596.59,288.40
27,843.99,23.40,789.83,345.90
28,791.48,110.60,737.31,261.99
29,820.41,85.06,591.88,293.42
30,744.33,18.06,705.44,7.42
